# z r Bz Br
#--------------------
 -350 0 0.000413 0
 -350 1 0.000412 -0.000005
 -350 2 0.000412 -0.00001
 -350 3 0.000411 -0.000015
 -350 4 0.00041 -0.00002
 -350 5 0.000411 -0.000025
 -350 6 0.000411 -0.00003
 -350 7 0.00041 -0.000035
 -350 8 0.00041 -0.00004
 -350 9 0.000409 -0.000045
 -350 10 0.000408 -0.00005
 -350 11 0.000409 -0.000055
 -350 12 0.000407 -0.00006
 -350 13 0.000407 -0.000065
 -350 14 0.000407 -0.00007
 -350 15 0.000405 -0.000075
 -350 16 0.000405 -0.000079
 -350 17 0.000404 -0.000084
 -350 18 0.000403 -0.000089
 -350 19 0.000402 -0.000094
 -350 20 0.000401 -0.000099
 -350 21 0.0004 -0.000104
 -350 22 0.000398 -0.000109
 -350 23 0.000397 -0.000114
 -350 24 0.000396 -0.000119
 -350 25 0.000394 -0.000123
 -350 26 0.000394 -0.000128
 -350 27 0.000392 -0.000133
 -350 28 0.00039 -0.000138
 -350 29 0.000389 -0.000143
 -350 30 0.000387 -0.000148
 -350 31 0.000385 -0.000152
 -350 32 0.000384 -0.000156
 -350 33 0.000383 -0.000162
 -350 34 0.000381 -0.000167
 -350 35 0.000379 -0.000171
 -350 36 0.000377 -0.000176
 -350 37 0.000375 -0.000181
 -350 38 0.000373 -0.000185
 -350 39 0.00037 -0.00019
 -350 40 0.000369 -0.000194
 -350 41 0.000365 -0.000198
 -350 42 0.000366 -0.000203
 -350 43 0.000363 -0.000207
 -350 44 0.000361 -0.000212
 -350 45 0.000358 -0.000217
 -350 46 0.000355 -0.000222
 -350 47 0.000353 -0.000226
 -350 48 0.000351 -0.00023
 -350 49 0.000348 -0.000235
 -350 50 0.000346 -0.000239
 -349 0 0.000422 0
 -349 1 0.000422 -0.000005
 -349 2 0.000422 -0.00001
 -349 3 0.000421 -0.000015
 -349 4 0.00042 -0.00002
 -349 5 0.000421 -0.000025
 -349 6 0.000421 -0.00003
 -349 7 0.00042 -0.000035
 -349 8 0.00042 -0.00004
 -349 9 0.000419 -0.000045
 -349 10 0.000419 -0.00005
 -349 11 0.000418 -0.000056
 -349 12 0.000417 -0.000061
 -349 13 0.000417 -0.000066
 -349 14 0.000416 -0.00007
 -349 15 0.000415 -0.000076
 -349 16 0.000414 -0.00008
 -349 17 0.000413 -0.000085
 -349 18 0.000413 -0.00009
 -349 19 0.000412 -0.000096
 -349 20 0.000411 -0.0001
 -349 21 0.000409 -0.000105
 -349 22 0.000408 -0.00011
 -349 23 0.000407 -0.000115
 -349 24 0.000406 -0.00012
 -349 25 0.000404 -0.000125
 -349 26 0.000403 -0.00013
 -349 27 0.000402 -0.000135
 -349 28 0.0004 -0.000139
 -349 29 0.000399 -0.000144
 -349 30 0.000397 -0.000149
 -349 31 0.000395 -0.000154
 -349 32 0.000394 -0.000159
 -349 33 0.000393 -0.000164
 -349 34 0.00039 -0.000168
 -349 35 0.000388 -0.000173
 -349 36 0.000387 -0.000178
 -349 37 0.000385 -0.000183
 -349 38 0.000382 -0.000187
 -349 39 0.000381 -0.000192
 -349 40 0.000379 -0.000197
 -349 41 0.000375 -0.000201
 -349 42 0.000373 -0.000205
 -349 43 0.000372 -0.00021
 -349 44 0.00037 -0.000214
 -349 45 0.000367 -0.000219
 -349 46 0.000365 -0.000224
 -349 47 0.000362 -0.000229
 -349 48 0.00036 -0.000233
 -349 49 0.000358 -0.000237
 -349 50 0.000355 -0.000242
 -348 0 0.000432 0
 -348 1 0.000432 -0.000005
 -348 2 0.000432 -0.00001
 -348 3 0.000432 -0.000015
 -348 4 0.000432 -0.000021
 -348 5 0.000431 -0.000026
 -348 6 0.000431 -0.000031
 -348 7 0.00043 -0.000036
 -348 8 0.00043 -0.000041
 -348 9 0.000429 -0.000046
 -348 10 0.000429 -0.000051
 -348 11 0.000429 -0.000056
 -348 12 0.000428 -0.000061
 -348 13 0.000427 -0.000066
 -348 14 0.000426 -0.000071
 -348 15 0.000426 -0.000076
 -348 16 0.000424 -0.000082
 -348 17 0.000423 -0.000087
 -348 18 0.000423 -0.000092
 -348 19 0.000422 -0.000096
 -348 20 0.000421 -0.000101
 -348 21 0.00042 -0.000106
 -348 22 0.000419 -0.000111
 -348 23 0.000417 -0.000116
 -348 24 0.000416 -0.000121
 -348 25 0.000415 -0.000126
 -348 26 0.000413 -0.000131
 -348 27 0.000412 -0.000136
 -348 28 0.000409 -0.000142
 -348 29 0.000408 -0.000146
 -348 30 0.000407 -0.000151
 -348 31 0.000405 -0.000155
 -348 32 0.000404 -0.00016
 -348 33 0.000402 -0.000165
 -348 34 0.000399 -0.00017
 -348 35 0.000397 -0.000175
 -348 36 0.000398 -0.00018
 -348 37 0.000394 -0.000184
 -348 38 0.000392 -0.000189
 -348 39 0.00039 -0.000194
 -348 40 0.000388 -0.000198
 -348 41 0.000386 -0.000203
 -348 42 0.000383 -0.000208
 -348 43 0.00038 -0.000212
 -348 44 0.00038 -0.000217
 -348 45 0.000377 -0.000221
 -348 46 0.000375 -0.000226
 -348 47 0.000371 -0.00023
 -348 48 0.000369 -0.000235
 -348 49 0.000367 -0.000239
 -348 50 0.000365 -0.000244
 -347 0 0.000442 0
 -347 1 0.000442 -0.000005
 -347 2 0.000442 -0.00001
 -347 3 0.000442 -0.000016
 -347 4 0.000442 -0.000021
 -347 5 0.000442 -0.000026
 -347 6 0.000441 -0.000031
 -347 7 0.00044 -0.000036
 -347 8 0.000441 -0.000041
 -347 9 0.00044 -0.000047
 -347 10 0.000439 -0.000052
 -347 11 0.000439 -0.000057
 -347 12 0.000438 -0.000062
 -347 13 0.000437 -0.000067
 -347 14 0.000436 -0.000072
 -347 15 0.000436 -0.000077
 -347 16 0.000435 -0.000082
 -347 17 0.000434 -0.000087
 -347 18 0.000433 -0.000093
 -347 19 0.000431 -0.000097
 -347 20 0.000431 -0.000103
 -347 21 0.00043 -0.000107
 -347 22 0.000429 -0.000112
 -347 23 0.000427 -0.000118
 -347 24 0.000426 -0.000122
 -347 25 0.000425 -0.000127
 -347 26 0.000423 -0.000133
 -347 27 0.000422 -0.000138
 -347 28 0.00042 -0.000142
